
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:8080         127.0.0.1:52464        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:52465        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:52513        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:52646        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:52684        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:52708        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:52718        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:52790        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:52801        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:52827        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:52933        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:53181        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:53207        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:53396        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:53587        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:53752        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:53815        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:53825        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:53856        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:53901        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:53906        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:53938        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:53964        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:54168        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:54257        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:54290        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:54421        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:54426        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:54452        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:54468        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:54623        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:54646        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:54705        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:54764        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:54792        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:54832        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:54901        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:54968        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:55018        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:55083        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:55161        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:55285        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:55476        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:55517        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:55757        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:55877        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:55908        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:55932        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:55993        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:56017        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:56048        TIME_WAIT       0
  TCP    127.0.0.1:8080         127.0.0.1:56080        TIME_WAIT       0
